%time(s),x1,x2,x3,x4,x5,u1,u2,y1,y2,y3,y4
0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2000000e+01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1.0000000e-03,4.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2000000e+01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2.0000001e-03,7.8120003e+00,2.2960001e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2000000e+01,0.0000000e+00,9.1840006e-02,0.0000000e+00,1.0000000e+01,6.0962510e-01
3.0000000e-03,1.1444397e+01,3.5657516e-01,2.2960002e-04,2.2105009e-03,0.0000000e+00,1.2000000e+01,0.0000000e+00,1.4263007e-01,6.9078147e-02,1.0647639e+00,6.3531446e-01
4.0000002e-03,1.4905828e+01,6.7850018e-01,5.8617519e-04,4.5141513e-03,2.2105010e-06,1.2000000e+01,0.0000000e+00,2.7140006e-01,1.4106722e-01,9.2390603e-01,6.3969213e-01
5.0000004e-03,1.8203957e+01,1.1967905e+00,1.2646754e-03,6.8336753e-03,6.7246524e-06,1.2000000e+01,0.0000000e+00,4.7871619e-01,2.1355234e-01,1.2416809e+00,6.3121855e-01
6.0000005e-03,2.1346081e+01,1.9088404e+00,2.4614660e-03,9.1224741e-03,1.3558329e-05,1.2000000e+01,0.0000000e+00,7.6353616e-01,2.8507730e-01,1.6783478e+00,6.2479967e-01
7.0000007e-03,2.4339163e+01,2.8046045e+00,4.3703066e-03,1.1387998e-02,2.2680804e-05,1.2000000e+01,0.0000000e+00,1.1218418e+00,3.5587493e-01,2.1523485e+00,6.2077957e-01
8.0000004e-03,2.7189856e+01,3.8742554e+00,7.1749110e-03,1.3638945e-02,3.4068802e-05,1.2000000e+01,0.0000000e+00,1.5497022e+00,4.2621702e-01,2.6359460e+00,6.1816937e-01
9.0000005e-03,2.9904520e+01,5.1088700e+00,1.1049166e-02,1.5880428e-02,4.7707748e-05,1.2000000e+01,0.0000000e+00,2.0435481e+00,4.9626336e-01,3.1178703e+00,6.1637408e-01
1.0000001e-02,3.2489231e+01,6.5002041e+00,1.6158037e-02,1.8115401e-02,6.3588173e-05,1.2000000e+01,0.0000000e+00,2.6000817e+00,5.6610626e-01,3.5929215e+00,6.1507607e-01
1.1000001e-02,3.4949799e+01,8.0405293e+00,2.2658242e-02,2.0345667e-02,8.1703576e-05,1.2000000e+01,0.0000000e+00,3.2162118e+00,6.3580209e-01,4.0585113e+00,6.1409944e-01
1.2000001e-02,3.7291775e+01,9.7225447e+00,3.0698773e-02,2.2572393e-02,1.0204924e-04,1.2000000e+01,0.0000000e+00,3.8890178e+00,7.0538723e-01,4.5133090e+00,6.1334032e-01
1.3000001e-02,3.9520458e+01,1.1539324e+01,4.0421318e-02,2.4796365e-02,1.2462164e-04,1.2000000e+01,0.0000000e+00,4.6157298e+00,7.7488637e-01,4.9566541e+00,6.1273408e-01
1.4000001e-02,4.1640919e+01,1.3484277e+01,5.1960643e-02,2.7018139e-02,1.4941800e-04,1.2000000e+01,0.0000000e+00,5.3937106e+00,8.4431678e-01,5.3882542e+00,6.1223984e-01
1.5000002e-02,4.3657997e+01,1.5551127e+01,6.5444924e-02,2.9238122e-02,1.7643615e-04,1.2000000e+01,0.0000000e+00,6.2204509e+00,9.1369128e-01,5.8080444e+00,6.1182964e-01
1.6000001e-02,4.5576317e+01,1.7733892e+01,8.0996051e-02,3.1456616e-02,2.0567427e-04,1.2000000e+01,0.0000000e+00,7.0935569e+00,9.8301917e-01,6.2160916e+00,6.1148548e-01
1.7000001e-02,4.7400299e+01,2.0026863e+01,9.8729946e-02,3.3673864e-02,2.3713088e-04,1.2000000e+01,0.0000000e+00,8.0107450e+00,1.0523082e+00,6.6125460e+00,6.1118877e-01
1.8000001e-02,4.9134167e+01,2.2424597e+01,1.1875681e-01,3.5890035e-02,2.7080474e-04,1.2000000e+01,0.0000000e+00,8.9698391e+00,1.1215636e+00,6.9976201e+00,6.1093402e-01
1.9000001e-02,5.0781956e+01,2.4921894e+01,1.4118141e-01,3.8105283e-02,3.0669477e-04,1.2000000e+01,0.0000000e+00,9.9687576e+00,1.1907901e+00,7.3715501e+00,6.1071312e-01
2.0000001e-02,5.2347519e+01,2.7513790e+01,1.6610330e-01,4.0319730e-02,3.4480006e-04,1.2000000e+01,0.0000000e+00,1.1005516e+01,1.2599915e+00,7.7345948e+00,6.1051995e-01
2.1000002e-02,5.3834541e+01,3.0195549e+01,1.9361709e-01,4.2533476e-02,3.8511978e-04,1.2000000e+01,0.0000000e+00,1.2078219e+01,1.3291711e+00,8.0870314e+00,6.1034656e-01
2.2000002e-02,5.5246544e+01,3.2962646e+01,2.2381264e-01,4.4746593e-02,4.2765326e-04,1.2000000e+01,0.0000000e+00,1.3185059e+01,1.3983309e+00,8.4291410e+00,6.1019289e-01
2.3000002e-02,5.6586887e+01,3.5810764e+01,2.5677529e-01,4.6959154e-02,4.7239984e-04,1.2000000e+01,0.0000000e+00,1.4324306e+01,1.4674735e+00,8.7612019e+00,6.1005574e-01
2.4000002e-02,5.7858788e+01,3.8735779e+01,2.9258606e-01,4.9171217e-02,5.1935902e-04,1.2000000e+01,0.0000000e+00,1.5494311e+01,1.5366005e+00,9.0835009e+00,6.0993272e-01
2.5000002e-02,5.9065311e+01,4.1733749e+01,3.3132184e-01,5.1382832e-02,5.6853023e-04,1.2000000e+01,0.0000000e+00,1.6693501e+01,1.6057135e+00,9.3963137e+00,6.0982084e-01
2.6000002e-02,6.0209393e+01,4.4800915e+01,3.7305558e-01,5.3594042e-02,6.1991304e-04,1.2000000e+01,0.0000000e+00,1.7920366e+01,1.6748137e+00,9.6999159e+00,6.0972017e-01
2.7000003e-02,6.1293831e+01,4.7933681e+01,4.1785648e-01,5.5804886e-02,6.7350711e-04,1.2000000e+01,0.0000000e+00,1.9173473e+01,1.7439026e+00,9.9945784e+00,6.0962510e-01
2.8000003e-02,6.2321308e+01,5.1128620e+01,4.6579015e-01,5.8015388e-02,7.2931201e-04,1.2000000e+01,0.0000000e+00,2.0451448e+01,1.8129808e+00,1.0000000e+01,6.0962510e-01
2.9000003e-02,6.3294380e+01,5.4382408e+01,5.1691878e-01,6.0225889e-02,7.8732742e-04,1.2000000e+01,0.0000000e+00,2.1752964e+01,1.8820590e+00,1.0000000e+01,6.0962510e-01
3.0000003e-02,6.4215492e+01,5.7691921e+01,5.7130116e-01,6.2436391e-02,8.4755331e-04,1.2000000e+01,0.0000000e+00,2.3076769e+01,1.9511371e+00,1.0000000e+01,6.0962510e-01
3.1000003e-02,6.5086983e+01,6.1054176e+01,6.2899309e-01,6.4646892e-02,9.0998970e-04,1.2000000e+01,0.0000000e+00,2.4421671e+01,2.0202153e+00,1.0000000e+01,6.0962510e-01
3.2000002e-02,6.5911079e+01,6.4466324e+01,6.9004726e-01,6.6857390e-02,9.7463658e-04,1.2000000e+01,0.0000000e+00,2.5786530e+01,2.0892932e+00,1.0000000e+01,6.0962510e-01
3.3000000e-02,6.6689911e+01,6.7925636e+01,7.5451362e-01,6.9067888e-02,1.0414940e-03,1.2000000e+01,0.0000000e+00,2.7170256e+01,2.1583714e+00,1.0000000e+01,6.0962510e-01
3.3999998e-02,6.7425522e+01,7.1429520e+01,8.2243925e-01,7.1278386e-02,1.1105619e-03,1.2000000e+01,0.0000000e+00,2.8571808e+01,2.2274494e+00,1.0000000e+01,6.0962510e-01
3.4999996e-02,6.8119850e+01,7.4975487e+01,8.9386880e-01,7.3488884e-02,1.1818403e-03,1.2000000e+01,0.0000000e+00,2.9990194e+01,2.2965276e+00,1.0000000e+01,6.0962510e-01
3.5999995e-02,6.8774765e+01,7.8561165e+01,9.6884429e-01,7.5699382e-02,1.2553292e-03,1.2000000e+01,0.0000000e+00,3.1424467e+01,2.3656056e+00,1.0000000e+01,6.0962510e-01
3.6999993e-02,6.9392036e+01,8.2184296e+01,1.0474055e+00,7.7909879e-02,1.3310286e-03,1.2000000e+01,0.0000000e+00,3.2873718e+01,2.4346836e+00,1.0000000e+01,6.0962510e-01
3.7999991e-02,6.9973366e+01,8.5842712e+01,1.1295898e+00,8.0120377e-02,1.4089386e-03,1.2000000e+01,0.0000000e+00,3.4337086e+01,2.5037618e+00,1.0000000e+01,6.0962510e-01
3.8999990e-02,7.0520370e+01,8.9534355e+01,1.2154325e+00,8.2330875e-02,1.4890590e-03,1.2000000e+01,0.0000000e+00,3.5813744e+01,2.5728397e+00,1.0000000e+01,6.0962510e-01
3.9999988e-02,7.1034607e+01,9.3257248e+01,1.3049669e+00,8.4541373e-02,1.5713898e-03,1.2000000e+01,0.0000000e+00,3.7302898e+01,2.6419177e+00,1.0000000e+01,6.0962510e-01
4.0999986e-02,7.1517548e+01,9.7009506e+01,1.3982242e+00,8.6751871e-02,1.6559312e-03,1.2000000e+01,0.0000000e+00,3.8803802e+01,2.7109959e+00,1.0000000e+01,6.0962510e-01
4.1999985e-02,7.1970612e+01,1.0078934e+02,1.4952338e+00,8.8962369e-02,1.7426831e-03,1.2000000e+01,0.0000000e+00,4.0315735e+01,2.7800739e+00,1.0000000e+01,6.0962510e-01
4.2999983e-02,7.2395149e+01,1.0459502e+02,1.5960231e+00,9.1172867e-02,1.8316455e-03,1.2000000e+01,0.0000000e+00,4.1838009e+01,2.8491518e+00,1.0000000e+01,6.0962510e-01
4.3999981e-02,7.2792450e+01,1.0842493e+02,1.7006181e+00,9.3383364e-02,1.9228184e-03,1.2000000e+01,0.0000000e+00,4.3369972e+01,2.9182301e+00,1.0000000e+01,6.0962510e-01
4.4999979e-02,7.3163750e+01,1.1227748e+02,1.8090430e+00,9.5593862e-02,2.0162016e-03,1.2000000e+01,0.0000000e+00,4.4910992e+01,2.9873080e+00,1.0000000e+01,6.0962510e-01
